Instructor,Course,Term,Enroll,Evals Made,Rcmd Class,Rcmnd Instr,Study Hours/week,avg Grade Expected,Average grade received
"Cheng, Li-Tien","
MATH 170B - Intro/Numerical Analy/Approxim (A)
",WI18,183,65,"
76.2 %
","
82.5 %
",8.4,"
B (3.11)
","
C+ (2.45)
"
"Nie, Jiawang","
MATH 171A - Intro Num Optimiz/Linear Prog (A)
",WI18,119,46,"
75.6 %
","
65.9 %
",9.4,"
B (3.15)
","
B (3.04)
"
"Eggers, John Dietrich","
MATH 18 - Linear Algebra (A)
",WI18,229,110,"
73.8 %
","
71.7 %
",7.01,"
B (3.05)
","
C+ (2.62)
"
"Kemp, Todd Aahron","
MATH 18 - Linear Algebra (B)
",WI18,211,117,"
88.6 %
","
95.6 %
",6.39,"
B (3.12)
","
B- (2.88)
"
"Kemp, Todd Aahron","
MATH 18 - Linear Algebra (C)
",WI18,217,115,"
83.9 %
","
94.6 %
",6.89,"
B (3.14)
","
B- (2.88)
"
"Zhou, Wenxin","
MATH 18 - Linear Algebra (D)
",WI18,199,105,"
83.0 %
","
45.5 %
",5.63,"
B+ (3.55)
","
B+ (3.39)
"
"Kolesnikov, Pavel","
MATH 18 - Linear Algebra (E)
",WI18,160,72,"
84.6 %
","
71.9 %
",5.74,"
B (3.29)
","
B- (2.97)
"
"Aghajani, Mohammadreza","
MATH 180A - Introduction to Probability (A)
",WI18,252,133,"
93.8 %
","
88.3 %
",7.12,"
B (3.29)
","
B- (2.91)
"
"Meyer, David A.","
MATH 180B - Intro/Stochastic Processes I (A)
",WI18,94,29,"
84.6 %
","
65.4 %
",7.76,"
B (3.04)
","
B (3.01)
"
"Schweinsberg, Jason","
MATH 180B - Intro/Stochastic Processes I (B)
",WI18,196,96,"
94.5 %
","
96.6 %
",9.9,"
B+ (3.49)
","
B (3.12)
"
"Zhang, Danna","
MATH 181A - Intro/Math Statistics I (A)
",WI18,145,66,"
97.0 %
","
98.5 %
",6.77,"
B+ (3.50)
","
B+ (3.35)
"
"Politis, Dimitris","
MATH 181A - Intro/Math Statistics I (B)
",WI18,86,27,"
87.0 %
","
52.2 %
",7.23,"
B+ (3.38)
","
B- (2.78)
"
"Novak, Jonathan I","
MATH 184A - Combinatorics (A)
",WI18,145,144,"
87.5 %
","
94.4 %
",6.36,"
B (3.29)
","
B+ (3.67)
"
"Knop, Aleksandr","
MATH 184A - Combinatorics (B)
",WI18,63,45,"
88.6 %
","
61.4 %
",7.41,"
B (3.09)
","
B (3.01)
"
"Zhou, Wenxin","
MATH 185 - Intro to Computational Stats (A)
",WI18,73,25,"
84.0 %
","
76.0 %
",6.74,"
A- (3.83)
","
B+ (3.56)
"
"Tesler, Glenn","
MATH 186 - Probablty Stats/Bioinformatics (A)
",WI18,75,34,"
83.9 %
","
80.0 %
",6.37,"
B+ (3.30)
","
B- (2.72)
"
"Bucur, Alina Ioana","
MATH 187A - Introduction to Cryptography (A)
",WI18,244,189,"
93.6 %
","
72.3 %
",4.23,"
A- (3.81)
","
B+ (3.63)
"
"Bradic, Jelena","
MATH 189 - Data Analysis and Inference (A)
",WI18,85,28,"
92.6 %
","
74.1 %
",9.09,"
B+ (3.60)
","
A- (3.71)
"
"Rhoades, Brendon Patrick","
MATH 190 - Introduction to Topology (A)
",WI18,31,25,"
87.5 %
","
100.0 %
",8.41,"
B (3.18)
","
B (3.10)
"
"Aghajani, Mohammadreza","
MATH 194 - The Mathematics of Finance (A)
",WI18,144,62,"
96.7 %
","
96.6 %
",6.64,"
B+ (3.68)
","
B (3.16)
"
"Harel, Guershon","
MATH 2 - Intro to College Mathematics (B)
",WI18,12,9,"
88.9 %
","
87.5 %
",6.94,"
B (3.13)
","
N/A
"
"Quarfoot, David James","
MATH 20A - Calculus/Science & Engineering (A)
",WI18,179,110,"
87.3 %
","
86.1 %
",8.03,"
C+ (2.65)
","
C- (1.88)
"
"Harel, Guershon","
MATH 20A - Calculus/Science & Engineering (B)
",WI18,51,26,"
73.1 %
","
69.2 %
",5.73,"
C+ (2.65)
","
C- (1.76)
"
"Curry, Sean N","
MATH 20B - Calculus/Science & Engineering (A)
",WI18,200,123,"
85.8 %
","
93.2 %
",6.7,"
B (3.00)
","
C (2.28)
"
"Eggers, John Dietrich","
MATH 20B - Calculus/Science & Engineering (B)
",WI18,200,112,"
82.7 %
","
89.3 %
",7.28,"
B- (2.74)
","
C+ (2.38)
"
"Petkov, Vladislav V","
MATH 20B - Calculus/Science & Engineering (C)
",WI18,192,106,"
61.2 %
","
42.0 %
",7.78,"
C+ (2.70)
","
C+ (2.51)
"
"Strahl, Perry Robert","
MATH 20B - Calculus/Science & Engineering (D)
",WI18,165,139,"
71.5 %
","
63.2 %
",7.03,"
B- (2.82)
","
C+ (2.57)
"
"Bowers, Adam R.","
MATH 20C - Calculus&Analyt Geom/Sci&Engnr (A)
",WI18,187,94,"
88.6 %
","
86.2 %
",6.46,"
B (3.20)
","
B- (2.81)
"
"Snellman Jr., Robert Allen","
MATH 20C - Calculus&Analyt Geom/Sci&Engnr (B)
",WI18,193,116,"
98.2 %
","
96.4 %
",5.29,"
B+ (3.65)
","
B+ (3.66)
"
"Allen, Grant Warren","
MATH 20C - Calculus&Analyt Geom/Sci&Engnr (C)
",WI18,211,127,"
86.6 %
","
84.7 %
",5.58,"
B+ (3.31)
","
B+ (3.31)
"
"Tesler, Glenn","
MATH 20C - Calculus&Analyt Geom/Sci&Engnr (D)
",WI18,191,104,"
94.9 %
","
85.7 %
",5.75,"
B+ (3.52)
","
B- (2.80)
"
"Chow, Bennett","
MATH 20C - Calculus&Analyt Geom/Sci&Engnr (E)
",WI18,167,108,"
81.6 %
","
62.1 %
",7.22,"
B+ (3.36)
","
B (3.12)
"
"Snellman Jr., Robert Allen","
MATH 20D - Intro/Differential Equations (A)
",WI18,189,94,"
98.9 %
","
98.9 %
",6.39,"
A- (3.71)
","
B+ (3.53)
"
"Ben-Ezra, David El-Chai","
MATH 20D - Intro/Differential Equations (B)
",WI18,207,95,"
92.1 %
","
86.5 %
",5.6,"
B+ (3.47)
","
B+ (3.46)
"
"Petkov, Vladislav V","
MATH 20D - Intro/Differential Equations (C)
",WI18,160,76,"
82.4 %
","
50.0 %
",5.4,"
B+ (3.40)
","
B- (2.94)
"
"Kolesnikov, Pavel","
MATH 20D - Intro/Differential Equations (D)
",WI18,147,69,"
86.6 %
","
80.0 %
",6.5,"
B (3.26)
","
B- (2.95)
"
"Buskin, Nikolay","
MATH 20E - Vector Calculus (A)
",WI18,140,50,"
91.5 %
","
74.5 %
",6.67,"
B (3.26)
","
B- (2.91)
"
"Sterbenz, Jacob","
MATH 20E - Vector Calculus (B)
",WI18,191,90,"
84.3 %
","
85.5 %
",6.57,"
B+ (3.42)
","
B- (2.74)
"
"Aamari, Eddie","
MATH 20E - Vector Calculus (C)
",WI18,174,76,"
86.1 %
","
75.0 %
",6.96,"
B (3.26)
","
B (3.09)
"
"Rogalski, Daniel","
MATH 31BH - Honors Multivariable Calculus (A)
",WI18,23,18,"
94.1 %
","
93.8 %
",10.15,"
A- (3.71)
","
B+ (3.48)
"
"Um, Ko Woon","
MATH 3C - Precalculus (A)
",WI18,169,91,"
78.8 %
","
87.3 %
",5.86,"
C+ (2.67)
","
C+ (2.51)
"
"Ciotti, Benjamin","
MATH 4C - Pre-calculus for Sci & Engn (A)
",WI18,47,26,"
92.0 %
","
92.0 %
",8.34,"
B- (2.83)
","
C+ (2.51)
"
"Bunch, James R.","
MATH 87 - Freshman Seminar (A)
",WI18,11,11,"
90.9 %
","
90.9 %
",0.5,"
N/A
","
N/A
"
"Harel, Guershon","
MATH 95 - Introduction to Teaching Math (A)
",WI18,10,8,"
37.5 %
","
50.0 %
",6.25,"
B (3.00)
","
N/A
"
"duBois, Page Ann","
MMW 11 - Pre-History & Ancient Foundatn (A)
",FA18,322,256,"
78.0 %
","
93.9 %
",5.08,"
B+ (3.52)
","
B+ (3.39)
"
"Jordan, David K.","
MMW 11 - Pre-History & Ancient Foundatn (B)
",FA18,268,208,"
62.0 %
","
73.1 %
",7.94,"
B- (2.90)
","
B- (2.99)
"
"Chang, Edmond Yi-Teh","
MMW 11 - Pre-History & Ancient Foundatn (C)
",FA18,278,193,"
86.8 %
","
98.9 %
",6.88,"
B (3.18)
","
B- (2.94)
"
"Herbst, Matthew","
MMW 11 - Pre-History & Ancient Foundatn (D)
",FA18,302,262,"
84.2 %
","
98.0 %
",7.12,"
B (3.26)
","
B (3.29)
"
"Myerston Santana, Jacobo","
MMW 11 - Pre-History & Ancient Foundatn (D)
",FA18,302,234,"
84.0 %
","
59.0 %
",6.92,"
B (3.26)
","
N/A
"
"Keller-Lapp, Heidi M.","
MMW 121 - Exploring the Pre-Modern World (A)
",FA18,203,180,"
61.6 %
","
87.4 %
",6.33,"
B+ (3.30)
","
B (3.08)
"
"Patterson, Patrick H.","
MMW 121 - Exploring the Pre-Modern World (B)
",FA18,291,263,"
66.9 %
","
92.6 %
",7.24,"
B+ (3.34)
","
B (3.15)
"
"Chang, Edmond Yi-Teh","
MMW 14 - Revolution,Industry & Empire (A)
",FA18,295,185,"
66.5 %
","
91.9 %
",6.08,"
B (3.24)
","
B (3.21)
"
"Tasyakan, Baris","
MMW 122 - Exploring the Modern World (A)
",S218,82,73,"
57.5 %
","
87.7 %
",7.73,"
B- (2.88)
","
B- (2.81)
"
"Chang, Edmond Yi-Teh","
MMW 15 - Twentieth Century and Beyond (A)
",S218,162,49,"
60.0 %
","
93.2 %
",7.76,"
B (3.24)
","
B (3.07)
"
"Patterson, Patrick H.","
MMW 121 - Exploring the Pre-Modern World (A)
",S118,56,44,"
86.4 %
","
97.7 %
",9.45,"
B (3.25)
","
B (3.24)
"
"Palhegyi, Joel David","
MMW 14 - Revolution,Industry & Empire (A)
",S118,167,85,"
58.0 %
","
85.5 %
",7.95,"
B+ (3.35)
","
B (3.23)
"
"Gallant, Thomas W.","
MMW 14GS - Revolution, Industry & Empire (A)
",S118,26,7,"
85.7 %
","
100.0 %
",4.9,"
A (4.00)
","
A (4.00)
"
"Evans, Ivan T","
MMW 15GS - Twentieth Century and Beyond (A)
",S118,24,6,"
100.0 %
","
100.0 %
",1.83,"
B+ (3.67)
","
A- (3.75)
"
"Rahimi, Babak","
MMW 15GS - Twentieth Century and Beyond (B)
",S118,26,15,"
100.0 %
","
100.0 %
",5.57,"
A- (3.87)
","
A- (3.95)
"
"Chang, Edmond Yi-Teh","
MMW 13 - New Ideas & Cultural Encountrs (A)
",SP18,284,208,"
69.7 %
","
94.8 %
",6.75,"
B (3.15)
","
B (3.15)
"
"Murillo, Dana V.","
MMW 13 - New Ideas & Cultural Encountrs (B)
",SP18,328,196,"
63.6 %
","
86.5 %
",5.82,"
B+ (3.47)
","
B+ (3.40)
"
"Rahimi, Babak","
MMW 13 - New Ideas & Cultural Encountrs (C)
",SP18,327,189,"
63.7 %
","
79.5 %
",6.04,"
B+ (3.41)
","
B+ (3.33)
"
"Radcliff, Pamela B.","
MMW 15 - Twentieth Century and Beyond (A)
",SP18,240,209,"
63.9 %
","
94.2 %
",5.25,"
B+ (3.34)
","
B+ (3.37)
"
"Chang, Edmond Yi-Teh","
MMW 15 - Twentieth Century and Beyond (B)
",SP18,261,157,"
79.9 %
","
97.2 %
",5.92,"
B+ (3.35)
","
B (3.26)
"
"Kwak, Nancy","
MMW 15 - Twentieth Century and Beyond (C)
",SP18,233,138,"
63.3 %
","
86.7 %
",5.17,"
B (3.28)
","
B (3.03)
"
"Cohen, Richard S.","
MMW 12 - Classical & Medieval Tradition (A)
",WI18,325,237,"
71.0 %
","
89.5 %
",6.43,"
B+ (3.36)
","
B+ (3.32)
"
"Smarr, Janet L.","
MMW 12 - Classical & Medieval Tradition (B)
",WI18,318,231,"
66.8 %
","
91.2 %
",5.99,"
B+ (3.31)
","
B (3.17)
"
"Chang, Edmond Yi-Teh","
MMW 12 - Classical & Medieval Tradition (C)
",WI18,318,258,"
67.9 %
","
92.8 %
",7.51,"
B (3.19)
","
B (3.11)
"
"Chang, Edmond Yi-Teh","
MMW 122 - Exploring the Modern World (A)
",WI18,223,173,"
50.0 %
","
87.7 %
",6.22,"
B (3.10)
","
B- (2.97)
"
"Patterson, Patrick H.","
MMW 122 - Exploring the Modern World (B)
",WI18,136,98,"
63.4 %
","
92.4 %
",9.37,"
B+ (3.33)
","
B (3.10)
"
"Hertz, Deborah","
MMW 14 - Revolution,Industry & Empire (A)
",WI18,145,118,"
44.3 %
","
50.9 %
",4.11,"
B+ (3.34)
","
B+ (3.42)
"
"Gallant, Thomas W.","
MMW 14 - Revolution,Industry & Empire (B)
",WI18,179,93,"
78.6 %
","
95.2 %
",4.81,"
B+ (3.35)
","
B+ (3.42)
"
"Blanco, John D","
MMW 14 - Revolution,Industry & Empire (C)
",WI18,140,102,"
59.6 %
","
69.4 %
",4.82,"
B (3.22)
","
B (3.22)
"
"Frank, Ross H.","
MMW 14 - Revolution,Industry & Empire (D)
",WI18,11,8,"
100.0 %
","
100.0 %
",6.75,"
A- (3.75)
","
N/A
"
"Herbst, Matthew","
MMW 14 - Revolution,Industry & Empire (D)
",WI18,11,8,"
100.0 %
","
100.0 %
",6.75,"
A- (3.75)
","
N/A
"
"Yang, K. Wayne","
MUIR 1 - First Year Experience (A)
",FA18,105,57,"
88.5 %
","
96.1 %
",1.08,"
A- (3.92)
","
N/A
"
"Wastal, Carrie King","
MUIR 2 - Transfer Year Experience (A)
",FA18,27,14,"
85.7 %
","
92.9 %
",2.36,"
A- (3.80)
","
N/A
"
"Wastal, Carrie King","
MUIR 2 - Transfer Year Experience (A)
",WI18,22,12,"
100.0 %
","
100.0 %
",1.41,"
A (4.00)
","
N/A
"
"Karis, Aleck","
MUS 101A - Music Theory and Practice I (A)
",FA18,34,13,"
92.3 %
","
92.3 %
",7.27,"
B (3.15)
","
B (3.23)
"
"Murphy-Mancini, Justin Joseph","
MUS 120A - Hist Mus in Westrn Culture I (A)
",FA18,33,11,"
70.0 %
","
70.0 %
",7.3,"
B+ (3.50)
","
A- (3.75)
"
"Borgo, David Garcia","
MUS 126 - Blues: An Oral Tradition (A)
",FA18,109,72,"
88.6 %
","
94.3 %
",3.4,"
A- (3.73)
","
B+ (3.49)
"
"Rubio, Juan David","
MUS 13 - Worlds of Music (A)
",FA18,127,105,"
80.4 %
","
88.1 %
",3.35,"
A- (3.72)
","
B+ (3.68)
"
"Ohnishi, Takae","
MUS 130 - Chamber Music Performance (A)
",FA18,20,11,"
100.0 %
","
100.0 %
",4.5,"
A- (3.91)
","
A (4.00)
"
"Kenyatta, Kamau","
MUS 137A - Jazz Theory and Improvisation (A)
",FA18,31,10,"
100.0 %
","
100.0 %
",1.7,"
A- (3.90)
","
A- (3.92)
"
"Nussman, Jonathan Banks","
MUS 15 - Popular Music (A)
",FA18,190,99,"
86.6 %
","
93.8 %
",3.22,"
B+ (3.65)
","
B+ (3.55)
"
"Hochman, Joshua David","
MUS 15 - Popular Music (B)
",FA18,175,95,"
59.1 %
","
74.7 %
",3.23,"
B (3.13)
","
B (3.07)
"
"Burr, Anthony I","
MUS 17 - Hip-Hop (A)
",FA18,368,164,"
89.1 %
","
92.3 %
",2.94,"
A- (3.73)
","
B+ (3.36)
"
"Puckette, Miller S.","
MUS 170 - Musical Acoustics (A)
",FA18,84,32,"
54.8 %
","
58.6 %
",5.03,"
B+ (3.57)
","
B (3.16)
"
"Hsu, Jennifer Shanchen","
MUS 173 - Electronic Music Prod & Comp (A)
",FA18,24,8,"
100.0 %
","
100.0 %
",4.25,"
A- (3.88)
","
A- (3.81)
"
"Burr, Anthony I","
MUS 174A - Audio&MIDIStudioTechniques I (A)
",FA18,29,6,"
100.0 %
","
100.0 %
",4.17,"
A- (3.80)
","
A- (3.76)
"
"Erbe, Tom","
MUS 177 - Music Programming (A)
",FA18,9,5,"
100.0 %
","
100.0 %
",3.7,"
B (3.25)
","
N/A
"
